Year,Round,Match Info,Date Time,Countries,Scores by Quarter,Final Score
2024,finals,"Men's Placement Match 3/4
OFFICIAL",2/17/2024 3:30,Spain vs France,4 1 5 3 2 2 3 4,"14
10"
2024,finals,"Men's Final Match 48
OFFICIAL",2/17/2024 9:30,Italy vs Croatia,3 2 2 3 2 3 4 3,"13
15"
2024,semifinals,"Men's Semi Final Match 43
OFFICIAL",2/15/2024 8:00,Spain vs Italy,1 1 1 3 1 2 3 2,"6
8"
2024,semifinals,"Men's Semi Final Match 44
OFFICIAL",2/15/2024 9:30,Croatia vs France,3 2 3 3 3 1 2 5,"17
16"
2024,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",2/13/2024 8:00,Spain vs Montenegro,5 2 3 5 5 0 2 5,"15
12"
2024,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",2/13/2024 9:30,Greece vs Italy,3 1 2 5 3 2 2 3,"10
11"
2024,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",2/13/2024 11:00,Serbia vs Croatia,4 4 5 5 1 2 3 4,"13
15"
2024,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",2/13/2024 12:30,Hungary vs France,4 2 3 1 1 3 2 5,"10
11"
2024,classification,"Men's Classification 13-16 Match 25
OFFICIAL",2/11/2024 1:00,South Africa vs Brazil,4 5 0 4 0 3 1 6,"5
18"
2024,classification,"Men's Classification 13-16 Match 26
OFFICIAL",2/11/2024 2:30,Japan vs Kazakhstan,3 2 5 0 5 2 4 0,"17
4"
2024,classification,"Men's Placement Match 15/16
OFFICIAL",2/13/2024 1:00,South Africa vs Kazakhstan,3 0 4 3 1 4 3 3,"11
10"
2024,classification,"Men's Placement Match 13/14
OFFICIAL",2/13/2024 2:30,Brazil vs Japan,4 6 2 5 3 5 2 6,"11
22"
2024,classification,"Men's Classification 9-12 Match 33
OFFICIAL",2/13/2024 4:00,People's Republic of China vs Romania,2 1 2 2 1 4 2 2,"7
9"
2024,classification,"Men's Classification 9-12 Match 34
OFFICIAL",2/13/2024 5:30,Australia vs United States of America,3 4 4 5 1 3 2 4,"10
16"
2024,classification,"Men's Placement Match 11/12
OFFICIAL",2/15/2024 1:00,People's Republic of China vs Australia,2 8 0 4 1 4 4 1,"7
17"
2024,classification,"Men's Placement Match 9/10
OFFICIAL",2/15/2024 2:30,Romania vs United States of America,2 5 2 2 4 3 1 3,"9
13"
2024,classification,"Men's Classification 5-8 Match 41
OFFICIAL",2/15/2024 4:00,Montenegro vs Greece,2 2 3 4 1 2 4 2,"13
14"
2024,classification,"Men's Classification 5-8 Match 42
OFFICIAL",2/15/2024 6:30,Serbia vs Hungary,5 2 2 5 2 1 2 2,"11
10"
2024,classification,"Men's Placement Match 7/8
OFFICIAL",2/17/2024 2:00,Montenegro vs Hungary,3 4 3 2 3 3 5 5,"16
18"
2024,classification,"Men's Placement Match 5/6
OFFICIAL",2/17/2024 8:00,Greece vs Serbia,5 2 3 3 2 4 5 2,"15
11"
2024,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",2/11/2024 4:00,Croatia vs People's Republic of China,5 2 5 1 6 1 6 0,"22
4"
2024,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",2/11/2024 8:00,Australia vs France,3 2 3 4 1 2 1 3,"8
11"
2024,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",2/11/2024 9:30,Montenegro vs Romania,3 5 4 1 2 2 3 1,"12
9"
2024,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",2/11/2024 11:00,United States of America vs Italy,3 3 1 3 4 4 4 3,"12
13"
2024,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",2/5/2024 1:00,South Africa vs Spain,1 6 0 7 0 4 4 4,"5
21"
2024,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",2/5/2024 5:30,Croatia vs Australia,5 1 4 2 2 2 2 3,"13
8"
2024,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",2/7/2024 5:30,Australia vs South Africa,6 2 8 1 7 1 8 3,"29
7"
2024,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",2/7/2024 11:00,Spain vs Croatia,2 1 3 2 1 0 4 3,"10
6"
2024,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",2/9/2024 5:30,Australia vs Spain,2 4 3 2 2 4 2 5,"9
15"
2024,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",2/9/2024 8:00,South Africa vs Croatia,2 7 1 7 3 7 0 8,"6
29"
2024,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",2/5/2024 2:30,People's Republic of China vs Greece,1 4 0 6 3 7 2 7,"6
24"
2024,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",2/5/2024 4:00,Brazil vs France,1 3 4 5 3 4 3 4,"11
16"
2024,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",2/7/2024 1:00,France vs People's Republic of China,3 3 4 2 2 1 7 3,"16
9"
2024,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",2/7/2024 2:30,Greece vs Brazil,6 3 4 0 6 0 7 1,"23
4"
2024,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",2/9/2024 11:00,Greece vs France,3 3 4 3 3 2 3 4,"13
12"
2024,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",2/9/2024 12:30,Brazil vs People's Republic of China,3 2 2 1 1 3 2 4,"8
10"
2024,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",2/5/2024 8:00,Japan vs Serbia,3 4 4 4 1 5 2 4,"10
17"
2024,group-c,"Men's Preliminary Round I - Group C Match 6
OFFICIAL",2/5/2024 9:30,Montenegro vs United States of America,3 1 2 3 4 3 2 4,"16
15"
2024,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",2/7/2024 4:00,United States of America vs Japan,4 1 4 0 4 2 6 2,"18
5"
2024,group-c,"Men's Preliminary Round I - Group C Match 12
OFFICIAL",2/7/2024 9:30,Serbia vs Montenegro,4 1 2 2 5 3 3 0,"14
6"
2024,group-c,"Men's Preliminary Round I - Group C Match 18
OFFICIAL",2/9/2024 1:00,Montenegro vs Japan,3 2 2 3 4 0 4 6,"13
11"
2024,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",2/9/2024 9:30,Serbia vs United States of America,2 3 3 4 6 1 3 4,"14
12"
2024,group-d,"Men's Preliminary Round I - Group D Match 7
OFFICIAL",2/5/2024 11:00,Italy vs Kazakhstan,6 1 10 1 8 1 9 0,"33
3"
2024,group-d,"Men's Preliminary Round I - Group D Match 8
OFFICIAL",2/5/2024 12:30,Romania vs Hungary,2 5 2 5 3 2 1 3,"8
15"
2024,group-d,"Men's Preliminary Round I - Group D Match 14
OFFICIAL",2/7/2024 8:00,Kazakhstan vs Romania,1 7 1 6 0 5 1 7,"3
25"
2024,group-d,"Men's Preliminary Round I - Group D Match 13
OFFICIAL",2/7/2024 12:30,Hungary vs Italy,2 2 2 2 3 3 2 2,"15
14"
2024,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",2/9/2024 2:30,Kazakhstan vs Hungary,0 8 0 5 0 8 1 7,"1
28"
2024,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",2/9/2024 4:00,Romania vs Italy,3 4 4 4 2 5 1 3,"10
16"
2023,finals,"Men's Placement Match 3/4
OFFICIAL",7/29/2023 0:00,Serbia vs Spain,3 3 2 3 0 2 1 1,"6
9"
2023,finals,"Men's Final Match 48
OFFICIAL",7/29/2023 5:00,Greece vs Hungary,2 4 2 1 3 2 3 3,"13
14"
2023,semifinals,"Men's Semi Final Match 43
OFFICIAL",7/27/2023 4:00,Greece vs Serbia,3 2 3 0 3 3 4 2,"13
7"
2023,semifinals,"Men's Semi Final Match 44
OFFICIAL",7/27/2023 5:30,Hungary vs Spain,3 3 1 3 3 2 5 3,"12
11"
2023,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",7/25/2023 2:00,Greece vs Montenegro,2 1 4 3 1 3 3 2,"10
9"
2023,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",7/25/2023 3:30,Italy vs Serbia,3 3 2 2 4 4 2 2,"14
15"
2023,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",7/25/2023 5:00,Hungary vs United States of America,4 4 3 1 3 2 3 5,"13
12"
2023,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",7/25/2023 6:30,Spain vs France,1 2 1 2 2 1 3 1,"7
6"
2023,classification,"Men's Classification 13-16 Match 25
OFFICIAL",7/22/2023 20:00,Kazakhstan vs People's Republic of China,1 1 4 0 3 1 4 3,"12
5"
2023,classification,"Men's Classification 13-16 Match 26
OFFICIAL",7/22/2023 21:30,Argentina vs South Africa,3 0 4 2 5 1 3 3,"15
6"
2023,classification,"Men's Placement Match 15/16
OFFICIAL",7/24/2023 20:00,People's Republic of China vs South Africa,3 2 4 2 4 1 5 3,"16
8"
2023,classification,"Men's Placement Match 13/14
OFFICIAL",7/24/2023 21:30,Kazakhstan vs Argentina,1 5 1 1 3 3 2 2,"7
11"
2023,classification,"Men's Classification 9-12 Match 33
OFFICIAL",7/24/2023 23:00,Canada vs Croatia,2 3 1 3 1 5 1 2,"5
13"
2023,classification,"Men's Classification 9-12 Match 34
OFFICIAL",7/25/2023 0:30,Australia vs Japan,5 3 4 7 4 3 3 2,"16
15"
2023,classification,"Men's Placement Match 11/12
OFFICIAL",7/26/2023 20:00,Canada vs Japan,3 6 3 6 2 8 3 3,"11
23"
2023,classification,"Men's Placement Match 9/10
OFFICIAL",7/26/2023 21:30,Croatia vs Australia,3 2 5 4 6 2 3 2,"17
10"
2023,classification,"Men's Classification 5-8 Match 41
OFFICIAL",7/27/2023 1:00,Montenegro vs Italy,1 1 1 3 2 3 2 3,"6
10"
2023,classification,"Men's Classification 5-8 Match 42
OFFICIAL",7/27/2023 2:30,United States of America vs France,3 1 3 3 5 4 2 5,"16
18"
2023,classification,"Men's Placement Match 7/8
OFFICIAL",7/28/2023 22:30,Montenegro vs United States of America,3 3 4 4 3 3 2 2,"15
17"
2023,classification,"Men's Placement Match 5/6
OFFICIAL",7/29/2023 3:30,Italy vs France,1 2 3 2 7 3 5 2,"16
9"
2023,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",7/23/2023 1:00,United States of America vs Canada,3 1 3 4 2 1 5 4,"13
10"
2023,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",7/23/2023 2:30,Australia vs France,0 4 5 2 2 4 1 1,"8
11"
2023,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",7/23/2023 4:00,Croatia vs Montenegro,3 2 0 3 5 4 4 4,"12
13"
2023,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",7/23/2023 5:30,Japan vs Serbia,3 3 2 3 2 7 3 3,"10
16"
2023,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",7/16/2023 20:00,Kazakhstan vs United States of America,1 5 4 4 0 4 0 5,"5
18"
2023,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",7/16/2023 21:30,Australia vs Greece,2 2 1 3 3 3 3 5,"9
13"
2023,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",7/19/2023 4:30,Greece vs Kazakhstan,6 1 5 0 4 1 3 0,"18
2"
2023,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",7/19/2023 7:30,United States of America vs Australia,3 4 3 2 4 1 6 1,"16
8"
2023,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",7/21/2023 0:30,United States of America vs Greece,3 3 6 1 2 4 3 7,"14
15"
2023,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",7/21/2023 3:00,Australia vs Kazakhstan,7 2 3 0 4 2 8 2,"22
6"
2023,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",7/16/2023 23:00,Canada vs People's Republic of China,4 0 3 6 4 4 2 0,"13
10"
2023,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",7/17/2023 0:30,France vs Italy,3 2 2 3 0 3 1 5,"6
13"
2023,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",7/18/2023 20:00,Italy vs Canada,6 0 4 2 8 4 6 0,"24
6"
2023,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",7/18/2023 21:30,People's Republic of China vs France,1 4 4 6 0 4 3 3,"8
17"
2023,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",7/21/2023 4:30,People's Republic of China vs Italy,2 2 1 7 2 6 0 3,"5
18"
2023,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",7/21/2023 7:30,France vs Canada,5 4 5 3 3 2 2 2,"15
11"
2023,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",7/17/2023 3:00,Argentina vs Croatia,2 8 1 4 0 7 2 5,"5
24"
2023,group-c,"Men's Preliminary Round I - Group C Match 6
OFFICIAL",7/17/2023 6:00,Hungary vs Japan,4 4 3 2 3 1 6 1,"16
8"
2023,group-c,"Men's Preliminary Round I - Group C Match 12
OFFICIAL",7/18/2023 23:00,Croatia vs Hungary,1 3 2 2 3 3 4 4,"10
12"
2023,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",7/19/2023 6:00,Japan vs Argentina,6 1 4 2 4 2 6 4,"20
9"
2023,group-c,"Men's Preliminary Round I - Group C Match 18
OFFICIAL",7/20/2023 20:00,Hungary vs Argentina,7 1 5 4 4 4 5 4,"21
13"
2023,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",7/21/2023 6:00,Croatia vs Japan,4 3 3 3 8 3 2 3,"17
12"
2023,group-d,"Men's Preliminary Round I - Group D Match 7
OFFICIAL",7/17/2023 4:30,Montenegro vs South Africa,6 1 10 0 9 5 10 4,"35
10"
2023,group-d,"Men's Preliminary Round I - Group D Match 8
OFFICIAL",7/17/2023 7:30,Serbia vs Spain,2 3 3 5 5 5 4 3,"14
16"
2023,group-d,"Men's Preliminary Round I - Group D Match 13
OFFICIAL",7/19/2023 0:30,Spain vs Montenegro,2 2 3 2 4 2 2 1,"11
7"
2023,group-d,"Men's Preliminary Round I - Group D Match 14
OFFICIAL",7/19/2023 3:00,South Africa vs Serbia,1 8 1 9 1 7 2 6,"5
30"
2023,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",7/20/2023 21:30,South Africa vs Spain,2 8 2 7 2 8 0 4,"6
27"
2023,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",7/20/2023 23:00,Serbia vs Montenegro,3 6 4 2 2 3 4 2,"17
15"
2022,finals,"Men's Placement Match 3/4
OFFICIAL",7/3/2022 8:30,Greece vs Croatia,1 0 4 3 3 2 1 2,"9
7"
2022,finals,"Men's Final Match 48
OFFICIAL",7/3/2022 14:00,Italy vs Spain,3 3 0 3 3 2 3 1,"14
15"
2022,semifinals,"Men's Semi Final Match 43
OFFICIAL",7/1/2022 10:00,Italy vs Greece,4 2 2 3 1 1 4 4,"11
10"
2022,semifinals,"Men's Semi Final Match 44
OFFICIAL",7/1/2022 13:30,Spain vs Croatia,3 3 2 0 2 2 3 0,"10
5"
2022,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",6/29/2022 7:00,Greece vs United States of America,3 1 4 6 3 0 6 4,"16
11"
2022,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",6/29/2022 10:00,Serbia vs Croatia,1 1 3 4 5 5 3 4,"12
14"
2022,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",6/29/2022 13:30,Spain vs Montenegro,2 1 3 2 1 2 1 1,"7
6"
2022,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",6/29/2022 15:00,Hungary vs Italy,3 2 2 4 1 2 4 3,"10
11"
2022,classification,"Men's Classification 13-16 Match 25
OFFICIAL",6/27/2022 11:00,Brazil vs Germany,2 2 3 2 3 3 1 3,"9
10"
2022,classification,"Men's Placement Match 13/14
OFFICIAL",6/29/2022 9:30,Germany vs Kazakhstan,4 2 4 2 3 1 5 2,"16
7"
2022,classification,"Men's Classification 9-12 Match 33
OFFICIAL",6/29/2022 11:00,Japan vs Australia,2 2 5 2 5 2 3 1,"15
7"
2022,classification,"Men's Classification 9-12 Match 34
OFFICIAL",6/29/2022 12:30,Georgia vs South Africa,3 1 5 1 7 2 5 3,"20
7"
2022,classification,"Men's Classification 5-8 Match 42
OFFICIAL",7/1/2022 8:30,Montenegro vs Serbia,2 2 2 3 2 3 1 2,"7
10"
2022,classification,"Men's Placement Match 11/12
OFFICIAL",7/1/2022 11:00,Australia vs South Africa,3 2 6 0 4 1 6 1,"19
4"
2022,classification,"Men's Placement Match 9/10
OFFICIAL",7/1/2022 12:30,Japan vs Georgia,3 6 7 3 2 2 4 4,"16
15"
2022,classification,"Men's Classification 5-8 Match 41
OFFICIAL",7/1/2022 15:00,Hungary vs United States of America,4 3 2 2 2 3 3 3,"15
16"
2022,classification,"Men's Placement Match 7/8
OFFICIAL",7/3/2022 7:00,Hungary vs Montenegro,1 0 4 2 2 1 1 3,"8
6"
2022,classification,"Men's Placement Match 5/6
OFFICIAL",7/3/2022 11:00,United States of America vs Serbia,3 3 3 5 1 3 3 2,"10
13"
2022,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",6/27/2022 8:00,Montenegro vs Japan,3 1 2 5 3 2 2 1,"10
9"
2022,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",6/27/2022 9:30,Georgia vs Croatia,2 3 2 4 0 3 3 3,"7
13"
2022,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",6/27/2022 11:00,Italy vs Australia,4 0 3 3 4 1 6 2,"17
6"
2022,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",6/27/2022 12:30,South Africa vs United States of America,0 6 0 6 0 5 2 7,"2
24"
2022,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",6/21/2022 13:30,Brazil vs Georgia,2 2 3 3 3 6 2 3,"10
14"
2022,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",6/21/2022 15:00,Montenegro vs Hungary,3 3 1 3 2 3 2 3,"8
12"
2022,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",6/23/2022 13:30,Georgia vs Montenegro,1 4 3 0 3 4 2 2,"9
10"
2022,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",6/23/2022 15:00,Hungary vs Brazil,7 1 4 2 4 1 5 2,"20
6"
2022,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",6/25/2022 13:30,Brazil vs Montenegro,0 4 2 6 0 7 3 3,"5
20"
2022,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",6/25/2022 15:00,Hungary vs Georgia,3 3 7 3 4 5 4 3,"18
14"
2022,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",6/21/2022 12:00,Germany vs Japan,2 5 2 3 2 3 5 1,"11
12"
2022,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",6/21/2022 13:30,Greece vs Croatia,4 1 1 4 2 1 1 2,"8
8"
2022,group-b,"Men's Preliminary Round I - Group B Match 9
OFFICIAL",6/23/2022 12:00,Croatia vs Germany,4 1 4 1 2 2 3 5,"13
9"
2022,group-b,"Men's Preliminary Round I - Group B Match 10
OFFICIAL",6/23/2022 13:30,Japan vs Greece,1 3 2 4 2 5 2 6,"7
18"
2022,group-b,"Men's Preliminary Round I - Group B Match 23
OFFICIAL",6/25/2022 12:00,Japan vs Croatia,3 4 6 3 2 7 2 7,"13
21"
2022,group-b,"Men's Preliminary Round I - Group B Match 24
OFFICIAL",6/25/2022 13:30,Greece vs Germany,4 1 5 1 4 2 3 4,"16
8"
2022,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",6/21/2022 12:00,South Africa vs Italy,2 4 0 7 1 8 1 3,"4
22"
2022,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",6/23/2022 12:00,Spain vs South Africa,7 1 7 0 6 1 8 0,"28
2"
2022,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",6/25/2022 12:00,Italy vs Spain,4 5 6 3 2 2 0 4,"12
14"
2022,group-d,"Men's Preliminary Round I - Group D Match 7
OFFICIAL",6/21/2022 12:00,Australia vs Kazakhstan,1 0 3 0 3 2 3 2,"10
4"
2022,group-d,"Men's Preliminary Round I - Group D Match 8
OFFICIAL",6/21/2022 13:30,United States of America vs Serbia,5 5 2 3 3 3 3 6,"13
17"
2022,group-d,"Men's Preliminary Round I - Group D Match 13
OFFICIAL",6/23/2022 12:00,Serbia vs Australia,1 1 2 2 2 2 1 0,"6
5"
2022,group-d,"Men's Preliminary Round I - Group D Match 14
OFFICIAL",6/23/2022 13:30,Kazakhstan vs United States of America,1 7 2 3 1 2 0 5,"4
17"
2022,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",6/25/2022 12:00,Kazakhstan vs Serbia,0 4 1 8 0 5 2 5,"3
22"
2022,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",6/25/2022 13:30,United States of America vs Australia,4 2 4 2 4 3 2 2,"14
9"
